INFO:root:2022-04-02 11:50:51.662537 - Amostra 187 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:53.690369 - Amostra 188 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:50:55.717841 - Amostra 189 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:57.744865 - Amostra 190 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:50:59.772153 - Amostra 191 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:01.797888 - Amostra 192 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:03.824843 - Amostra 193 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:05.852003 - Amostra 194 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:07.878195 - Amostra 195 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:09.905355 - Amostra 196 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:11.932656 - Amostra 197 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:13.959283 - Amostra 198 | Leitura: 30768 | Tensão 3.8448673360393077
INFO:root:2022-04-02 11:51:15.987280 - Amostra 199 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:18.017049 - Amostra 200 | Leitura: 30788 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:20.044741 - Amostra 201 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:22.072524 - Amostra 202 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:24.099979 - Amostra 203 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:26.127717 - Amostra 204 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:28.154895 - Amostra 205 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:30.182198 - Amostra 206 | Leitura: 30788 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:32.209608 - Amostra 207 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:34.236669 - Amostra 208 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:36.263062 - Amostra 209 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:51:38.290406 - Amostra 210 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:51:40.317998 - Amostra 211 | Leitura: 30768 | Tensão 3.8436172978911713
